cryptoName,date,open,close,high,low,average,volume,trade_count,vwap,timestamp
BTC/USD,05/30/2021,34754.28,34487.56,36526.68,34185.6,35356.14,1761.283682,77255.0,35559.5395262053,2021-05-30 05:00:00+00:00
BTC/USD,05/31/2021,34491.04,36754.85,37900.0,34221.83,36060.915,2145.896753,79510.0,36712.7813358267,2021-05-31 05:00:00+00:00
BTC/USD,06/01/2021,36750.0,36666.77,37450.97,35670.68,36560.825,3094.346908,89028.0,36339.3925854322,2021-06-01 05:00:00+00:00
BTC/USD,06/02/2021,36678.26,37973.25,38222.0,36505.63,37363.815,1781.622481,58592.0,37538.9872558333,2021-06-02 05:00:00+00:00
BTC/USD,06/03/2021,37973.25,37579.0,39490.3,37400.0,38445.15,1986.222314,64035.0,38569.1688925318,2021-06-03 05:00:00+00:00
BTC/USD,06/04/2021,37586.89,37694.07,37858.0,35609.12,36733.56,2597.909546,72777.0,36844.1608601839,2021-06-04 05:00:00+00:00
BTC/USD,06/05/2021,37709.89,36094.66,37917.26,34835.06,36376.16,2798.257444,72079.0,36060.9683442298,2021-06-05 05:00:00+00:00
BTC/USD,06/06/2021,36097.28,36277.14,36804.71,35236.52,36020.615,1712.577684,52019.0,36057.6962711056,2021-06-06 05:00:00+00:00
BTC/USD,06/07/2021,36268.2,32873.35,36793.97,32401.72,34597.845,2435.715493,80289.0,34591.3743804693,2021-06-07 05:00:00+00:00
BTC/USD,06/08/2021,32873.35,33000.0,33874.25,31028.34,32451.295,2434.238152,89556.0,32597.827771553,2021-06-08 05:00:00+00:00
BTC/USD,06/09/2021,32993.19,36818.72,37680.0,32929.29,35304.645000000004,3117.079182,105575.0,35972.5733686997,2021-06-09 05:00:00+00:00
BTC/USD,06/10/2021,36816.2,37056.87,38441.05,35819.93,37130.490000000005,2620.516893,94976.0,36954.1361884339,2021-06-10 05:00:00+00:00
BTC/USD,06/11/2021,37073.51,35244.76,37682.4,35114.74,36398.57,2065.59778,78740.0,36811.4399166636,2021-06-11 05:00:00+00:00
BTC/USD,06/12/2021,35242.58,35200.54,36217.06,34633.01,35425.035,1237.701681,56478.0,35521.8571116102,2021-06-12 05:00:00+00:00
BTC/USD,06/13/2021,35185.5,39283.89,39844.0,34837.2,37340.6,1910.387904,71308.0,37964.6825960571,2021-06-13 05:00:00+00:00
BTC/USD,06/14/2021,39280.87,40522.49,41050.92,38871.26,39961.09,2129.810934,76417.0,40101.542050236,2021-06-14 05:00:00+00:00
BTC/USD,06/15/2021,40524.04,40291.7,41391.73,39546.46,40469.095,1686.877036,63150.0,40237.5136364303,2021-06-15 05:00:00+00:00
BTC/USD,06/16/2021,40305.53,38825.69,40562.89,38111.0,39336.945,1841.063495,66437.0,38935.621571983,2021-06-16 05:00:00+00:00
BTC/USD,06/17/2021,38812.01,37936.56,39546.92,37212.48,38379.7,1975.898847,73402.0,38204.2663750622,2021-06-17 05:00:00+00:00
BTC/USD,06/18/2021,37941.58,35199.43,38116.68,34842.44,36479.56,2310.296678,87460.0,36213.397716148,2021-06-18 05:00:00+00:00
